QA ID	Kysymys : Anturaharkko- umpi vai ontto ? Perustukset Taloon tulee pieni 20 neliön laajennus , ja näyttää siltä , että anturakin joudutaan tekemään harkoista . Kelirikkoaikana tuossa tiellä on 12 tonnin rajoitus , pumppuautosta on turha haaveilla , ja suoraan sanoen : laiskottaa ryhtyä sekoittamaan tuhansia litroja myllyllä betonia . Mietinkin siis harkkoperustusta , 4x5 metrin kehä , ja anturan päälle jonkun kymmenen sentin korkuinen harkkomuuri . rossipohja siis . Kysymys kuuluukin : Olen yrittänyt katsoa , ja anturaharkkoa näyttää olevan onttona , jolloin betonia menee 45 litraa per harkko . Harkkoa saa myös näköjään umpinaisena , mikäli oikein googlailin . Rakentaja.fi:ssä on asiasta keskusteltu , mutta jokainen kysymys näyttää koskevan umpiharkkoa ja pilariperustusta- ja siitähän tässä ei ole kyse , vaan ihan klassisesta antura+harkkomuuriratkaisusta . Kysymys kuuluukin : miksi ihmeessä pitäisi olla ontto harkko , jolla betonimäärässä säästettäisiin pari litraa ? 45 litraa on aika paljon , ja tuonkin kokoisessa perustassa kuraa joutuisi sekoittamaan erittäin paljon . Eikö tuon anturan voi tehdä umpiharkosta , sen päälle 10 mm raudat ja vähän S-satasta liimaksi seuraavaan harkkokerrokseen ? ( Eikös tuon koko anturan + harkkomuurin sen päälle voi muurata ihan S-satasella ? ) Kommentoi :* Huomaathan , että viestien ilmestyminen kestää hetken , koska kaikki viestit tarkistetaan ennen julkaisua . * Tähdellä merkityt kentät ovat pakollisia . Vastaus Anturaharkolla saadaan anturasta palkkimainen , eli se on jäykkä rakenne , palkki . Jos antura tehdään umpiharkosta , sitä ei voi jäykistää muuten kuin yläpinnastaan , ja sillä tuohon ei saada riittävää jäykkyyttä . Rakennesuunnittelija voi asiaan laskea anturan kapasiteetin , jolloin hän käy myös läpi mahdollisuuden anturan rakentamiseen umpiharkoista .
QA ID	Kysymys- ja vastauspalstalle ei toistaiseksi voi jättää uusia kysymyksiä . Ei aihetta Hei ! Olen lukenut palstaasi joka on muuten tosi hyvä ! Olen selannut myös nettiä , mutta en oikein löytänyt selventäviä vastauksia . Olen 26-vuotias mies . Harrastin seksiä reilu kuukausi sitten erään tytön kanssa . Käytin kondomia , mutta epäilen että joitain eritteitä pääsi penikselleni . Harrastin myös suuseksiä . Heti päivän tai parin jälkeen tunsin outoa kutinaa terskassa , sekä kiveksieni sivulla . Virtsaamistarve myös lisääntyi . Odottelin reilun viikon , mutta oireet eivät menneet ohi , joten menin lääkäriin . Koska oireet tulivat niin pian ajattelin että kyseessä voisi olla jokin bakteeritulehdus . Lääkärissä minulta otettiin virtsanäyte , sekä annettiin kerta-annos antibiotit klamydian takia . Söin antibiotit ja myöhemmin sain vastauksen klamydiasta ja tippurista , mutta ne olivat negatiiviset . Noin kaksi viikkoa tapahtuneesta ja muutama päivä lääkärikäynnin jälkeen tunsin eräänä iltana voimakasta kipua alavatsassa . Tämä meni ohi mutta , lievä kipu ja arkuus jatkui alavatsassa ja kyljissä sekä selässä . Myös lievä kutina on jatkunut . Menin lääkäriin uudelleen noin kolme ja puoliviikkoa tapahtumasta ja sain 10 pv antibioottikuurin eturauhasen tulehdukseen . Siitä ei vain ole tarkkaa tietoa jos minulla on tulehdus , onko se tullut yhdynnästä bakteerin kautta , stressistä , kylmettymisestä vai muusta . Virtsanäyte oli puhdas myös tällä kertaa . Alavatsakivut eivät ole enää paljoa häirinneet , mutta kutina on palannut ( tai ollut kokoajan ) voimakkaampana . Toissa iltana masturboinnin jälkeen huomasin muutamia noin millinkokoisia tai pienempiä punaisia näppyjä terskassani . Näpyt näyttävät aika normaalilta joten kyseessä voi olla vain ärsytyksestä johtuvia näppyjä . Mutta jokin on pielessä vielä . Voisi kyseessä olla esim. hiivatulehdus ja lievä stressistä tai kylmyydestä johtuva eturauhastulehdus yhtä aikaa ? Oireet viittaavat vahvasti eturauhastulehdukseen , mutta mistä tulee kutina ja arkuus terskaan ? Vai voikohan kyseessä olla joku virussairaus esim. kondylooma ? Herpekseen en oikein usko . Kolyndoomallahan näytti olevan lyhin itämisaika . Yritin etsiä tietoa netistä kondyloomasta , mutta en löytänyt miehiä koskevaa selventävää tietoa . Mitkä ovat oireet miehillä ja minkälaiset ovat ulkoiset muutokset . Jokapaikassa puhutaan vain kukkakaalimaisista muutoksista , voivatko ne olla vain pieniä lähes näkymättömiä näppyjä ? Eli mikähän hätänä ? Pitäisikö mennä jo urologille ? Kiitos vastauksesta jo etukäteen ! --------------------------- VASTAUS Ilmeisesti hätäilet ja oireilet aivan suotta . Ensinnäkään mikään sukupuoliteitse tarttuva sairasu ei anna oireiat 1-2 vrk.yhteyden jälkeen , -ja lisäksi käytit kertomasi mukaan kondomia . Joten tulehdustartunnan mahdollisuuden voit unohtaa . Eturauhasen tulehdushan voi kuvaamiasi oireita aiheuttaa , mutta se on perin harvoin taudinaiheuttajien aikaansaama , vaan katarrimainen ärsytystila . Condyloma taas saattaa olla sukupuolelimissä näkymätönkin sairaus , mutta vastaanotolla etikkahappopenslauksella se tulee esiin . Jos oireesi vaivaavina jatkuvat , voisit toki hakeutua urologi-erikoislääkärin vastaanotolle . Ps . Tricomoniasis tutkin tulee kysymykseen . Pellervo Petäys urologian erikoislääkäri Masa 20.2.2008 0.00 Lisäys edelliseen kysymykseen Vai voisko kyseessä olla sittenkin joku bakteeipohjainen tauti ? Mitkä on trikomoniaasin oireet miehillä ? ( tiedän ettei ole kovin yleinen meilläpäin ) . Huolestunut 20.2.2008 0.00 Punaisia , kipeitä täpliä terskassa . Hei , olen 15 vuotias ja huomasin n.20-30h yhdynnän jälkeen , että terskassa ja terskan päässä on punaisia , kipeitä läiskiä . Muutama todella pieni valkoinenkin täplä on ilmestynyt terskaan . Onko kyseessä hiivatulehdus , tai jokin muu tauti , vai vaan ohimenevä ihottuma tai muu ? ---------------------- VASTAUS Monasti aikaisemmin toistettu ja vastattu kysymys . Perehdy niihin ja tarvittaessa käännyt lääkärin puoleen , koska potilaan näkeminen ja tutkiminen on sairauden määrityksessä ja hoidossa tärkeää . Pellervo Petäys urologian erikoislääkäri ... ............. 20.2.2008 0.00 hiivasieni tulehdus Mitä pitäisi tehdä kun toi " hiivasieni " ( samat oireet ) tuppaa aina tulemaa takaisi ja on sinnikäs vaikka olen säänöllisesti hoitanu sitä hiivasieni voiteilla , normaalisitinha kuuri voiteella on n.3-4 viikkoa ja itse olen hoitanut aina n.3 viikkoa ja kyseinen ongelma on tullu jo ainaki valehtelematta 8 kertaa ja alkaa niinku pikku hiljaa masentaa , en oo muita lääkkeitä käyttänyt ongelmaani . ------------------------- VASTAUS Hakeudu ihotautien erikoislääkärin vastaanotolle . Pellervo Petäys urologian erikoislääkäri Hannu 20.2.2008 0.00 Valkoista kuonaa ? Minulla on valkoista , ei-niin kutsuvan-tuoksuista tavaraa esinahan alla . Aika-ajoin enemmän , joskus vähemmän , joskus se on kiinteämpää , joskus limaisempaa . Pyrin pesemään joka päivä , joskus tavallisella suihkusaippualla , yleensä ilman . Pesun määrällä ei tunnu olevan vaikutusta asiaan . Mistä voisi olla kysymys ? ----------------------- VASTAUS Ilmeisen varmasti hiivasienitulehdus johon sitten pesii nopeasti muita bakteereita . Joka päivä aamuin illoin lämpimässä suihkussa pesuaineella pesu huolella esinahka taakse vedettynä niin että mikään kohta esinahan alla ei jää pesemättä . Sitten puhtaalla pyyhkellä kuivaaminen edelleen esinahka taakse vedettynä . Sitten edelleen esinahka taakse vedettynä sivelet terskaan ja esinahan sisälehteen apteekista reseptivapaasti saamaasi Trosycort-tai Daktacort emsulsiovoidetta ja vedät esinahan terskan yli . Tämä toimenpide aamuin illoin 1-2 viikon ajan ja tarvittaessa kuuri uusitaan . Paranee ja töhnä ja hajut häipyvät . Ellei , käännyt ihotautien erikoislääkärin puoleen .
QA ID	Kysymys : Puh.johtajan esteellisyys Taloyhtiön rakennusoikeudelliset kysymykset pvm: 11.11.2010 17:48 1. Taloyhtiömme hallituksen kokouksessa oli puheenjohtaja läsnä käsittelemässä sekä hyväksymässä oman firmansa nimissä jättäämäänsä pannuhuoneen urakkatarjoustaan . Hallitus hyväksyi tarjouksen , puheenjohtaja urakoi homman firmansa nimissä , ilman työnaikaista valvontaa , ilman valmistuneen työn vastaanottoa . 2. Talousarviossa varattu 0 euroa korjauksiin , kassavarat ei riittänyt urakkalaskujen maksuun , hallitus kutsui ylimääräisen yhtiökokouksen koolle , hall.puh.johtaja kokouksen puheenjohtajana esitti jo tehdyn urakan jälkeen urakkalaskujen maksuun kahta ylimääräistä yhtiövastiketta . Osakkaat hyväksyi , äänestyksellä , tosin osa ilman valtakirjaa . Miten reklamoin ? puh.johtaja esteellinen molemmissa kokouksissa ? Kommentoi :* Huomaathan , että viestien ilmestyminen kestää hetken , koska kaikki viestit tarkistetaan ennen julkaisua . * Tähdellä merkityt kentät ovat pakollisia . Vastaus Hallituksen jäsenen esteellisyydestä säädetään asunto-osakeyhtiölain ( 1599/2009 ) 7 luvun 4 §:ssä . Hallituksen puheenjohtaja on ollut esteellinen päättämään asiasta , jossa taloyhtiön ja hallituksen puheenjohtajan omistaman yhtiön välinen urakkatarjous on hyväksytty . Hallituksen puheenjohtaja on velvollinen korvaamaan vahingon , jonka hän on yhtiölle aiheuttanut . Vahinkoa nyt on voinut tulla , mikäli remontti näin toteutettuna on tullut kalliimmaksi kuin asianmukaisesti kilpailutettuna . Päätöksenteko vahingonkorvausta koskevassa asiassa kuuluu ensisijaisesti yhtiökokoukselle . Esitä kirjallisesti hallitukselle , että se ottaa asian esityslistalle , kun yhtiökokous kokoontuu seuraavan kerran . Ennen kokousta ja päätöksentekoa asiassa sinun tai hallituksen on tietenkin selvitettävä , onko vahinkoa aiheutunut . Yhtiökokoukseen liittyvässä asiassa esteellisyyskysymys on epäselvempi , koska siinä on ollut kysymys ensisijaisesti vastikkeesta . Jari Määttä Lakimies Asianajotoimisto Juntura Oy Pekankatu 4 B 16 96200 Rovaniemi puh . 0400 975 775 fax . 016 319 600 www.juntura .eu &gt ;Jahas , onpas kinkkinen kysymys . Tilanne ei välttämättä ole aivan suoraviivainen siitä huolimatta , vaikka hallituksen puheenjohtaja olisikin jäävi , kuten kysymyksen esittäjän kuvaamassa tilanteessa on laita käsiteltävänä olleen asian suhteen . Yleensä kuvatun laisessa tilanteessa hallituksen puheenjohtajan olisi tullut pidättäytyä osallistumasta äänestykseen , ja jos näin on tapahtunutkin riippumatta siitä onko ao . henkilö ollut läsnä kokouksessa esimerkiksi esittelijän roolissa , varsinaista virhettä ei ole tapahtunut . Toisaalta hallituksen eräs keskeisistä tehtävistä on huolehtia taloyhtiön kunnosta ja tekniikan toimimisesta , sekä tehdä riittävän nopeita päätöksiä osakkeen omistajien puolesta mm. teknisten laitteiden korjauksessa , minkä toimenpiteiden viivästämisellä saattaisi olla yhtiön omaisuuden tai osakehuoneistojen käytettävyyden näkökulmasta tuhoisia seurauksia . ( Esimerkiksi jos yhtiön lämmitysjärjestelmä on rikkoutunut , tulee hallituksen ryhtyä välittömiin toimenpiteisiin viivytyksittä asian kuntoonsaattamiseksi näin talven kynnyksellä ) Koska budjetissa ei kysyjän selvityksen mukaan ollut varauksia tehtyyn korjaukseen , syynä pikainvestointiin on saattanut olla nimenomaan äkillinen ennalta arvaamaton lämmitysjärjestelmän rikkoutuminen talven kynnyksellä , mihin korjaustoimeniteeseen on apu löytynyt kätevästi läheltä , ja hallitus on näinollen toiminut osakkaiden edun mukaisesti . Jos kyseessä ei ole ollut edellä kuvatun kaltainen hätätyö , vaan pannuhuoneen kunnostustyö on tehty osakkaiden edun vastaisesti ilman yhtiökokouksen tukea , oikea paikka asian käsittelyyn on yhtiön vuosikokous ja se asiakohta missä päätetään hallituksen vastuuvapaudesta . Jos yhtiöjärjestyksessä määrätty riittävän suuri määräenemistö osakkeen omistajista on sitä mieltä , että vastuuvapautta ei voida myöntää ja yhtiökokous näinollen kieltäytyy antamasta hallitukselle vastuuvapautta , mahdollistaa tämä asian uudelleen käsittelyn . [ P59 ] 14.11.2010 20:44 Hallituksen jäsenen esteellisyys Hallituksen jäsen ei saa osallistua sellaisen asian käsittelyyn , joka koskee : 1 ) hänen ja yhtiön välistä sopimusta tai muuta oikeustointa ; 2 ) sellaista hänen hallinnassaan olevan osakehuoneiston uudistusta tai muuta kuin välttämätöntä kunnossapitoa , joka poikkeaa muiden osakkeenomistajien hallinnassa olevien osakehuoneistojen kunnossapidosta tai uudistamisesta ; taikka 3 ) hänen osakehuoneistonsa ottamista yhtiön hallintaan . Hallituksen jäsen ei myöskään saa ottaa osaa yhtiön ja kolmannen välisen 1 momentissa tarkoitetun asian käsittelyyn , jos hänellä on odotettavissa siitä olennaista etua , joka saattaa olla ristiriidassa yhtiön edun kanssa . Edellä tässä pykälässä säädettyä sovelletaan myös , kun päätetään yhtiön puhevallan käyttämisestä oikeudenkäynnissä tai muuten . [ Vaaka ] 14.11.2010 23:16 Kommentoi :* Nimi/nimimerkki :* Email:* Ei näytetä julkisesti Huomaathan , että viestien ilmestyminen kestää hetken , koska kaikki viestit tarkistetaan ennen julkaisua . * Tähdellä merkityt kentät ovat pakollisia . Jahas , onpas kinkkinen kysymys . Tilanne ei välttämättä ole aivan suoraviivainen siitä huolimatta , vaikka hallituksen puheenjohtaja olisikin jäävi , kuten kysymyksen esittäjän kuvaamassa tilanteessa on laita käsiteltävänä olleen asian suhteen . Yleensä kuvatun laisessa tilanteessa hallituksen puheenjohtajan olisi tullut pidättäytyä osallistumasta äänestykseen , ja jos näin on tapahtunutkin riippumatta siitä onko ao . henkilö ollut läsnä kokouksessa esimerkiksi esittelijän roolissa , varsinaista virhettä ei ole tapahtunut . Toisaalta hallituksen eräs keskeisistä tehtävistä on huolehtia taloyhtiön kunnosta ja tekniikan toimimisesta , sekä tehdä riittävän nopeita päätöksiä osakkeen omistajien puolesta mm. teknisten laitteiden korjauksessa , minkä toimenpiteiden viivästämisellä saattaisi olla yhtiön omaisuuden tai osakehuoneistojen käytettävyyden näkökulmasta tuhoisia seurauksia . ( Esimerkiksi jos yhtiön lämmitysjärjestelmä on rikkoutunut , tulee hallituksen ryhtyä välittömiin toimenpiteisiin viivytyksittä asian kuntoonsaattamiseksi näin talven kynnyksellä ) Koska budjetissa ei kysyjän selvityksen mukaan ollut varauksia tehtyyn korjaukseen , syynä pikainvestointiin on saattanut olla nimenomaan äkillinen ennalta arvaamaton lämmitysjärjestelmän rikkoutuminen talven kynnyksellä , mihin korjaustoimeniteeseen on apu löytynyt kätevästi läheltä , ja hallitus on näinollen toiminut osakkaiden edun mukaisesti . Jos kyseessä ei ole ollut edellä kuvatun kaltainen hätätyö , vaan pannuhuoneen kunnostustyö on tehty osakkaiden edun vastaisesti ilman yhtiökokouksen tukea , oikea paikka asian käsittelyyn on yhtiön vuosikokous ja se asiakohta missä päätetään hallituksen vastuuvapaudesta . Jos yhtiöjärjestyksessä määrätty riittävän suuri määräenemistö osakkeen omistajista on sitä mieltä , että vastuuvapautta ei voida myöntää ja yhtiökokous näinollen kieltäytyy antamasta hallitukselle vastuuvapautta , mahdollistaa tämä asian uudelleen käsittelyn . Hallituksen jäsenen esteellisyys Hallituksen jäsen ei saa osallistua sellaisen asian käsittelyyn , joka koskee : 1 ) hänen ja yhtiön välistä sopimusta tai muuta oikeustointa ; 2 ) sellaista hänen hallinnassaan olevan osakehuoneiston uudistusta tai muuta kuin välttämätöntä kunnossapitoa , joka poikkeaa muiden osakkeenomistajien hallinnassa olevien osakehuoneistojen kunnossapidosta tai uudistamisesta ; taikka 3 ) hänen osakehuoneistonsa ottamista yhtiön hallintaan . Hallituksen jäsen ei myöskään saa ottaa osaa yhtiön ja kolmannen välisen 1 momentissa tarkoitetun asian käsittelyyn , jos hänellä on odotettavissa siitä olennaista etua , joka saattaa olla ristiriidassa yhtiön edun kanssa . Edellä tässä pykälässä säädettyä sovelletaan myös , kun päätetään yhtiön puhevallan käyttämisestä oikeudenkäynnissä tai muuten .
QA ID	Kysymys : Salaojasoran käyttö Maa- ja pohjarakenteet Meillä on talon pohja viimeinen kerros ~250mm tehty # 8-16 kalliomurskeella reilusti talon ulkoseinien ulkopuolelle saakka . Voinko asentaa salaojat suoraan tähän murskeeseen vai onko syytä laittaa jotain muuta maa-aonesta salaojien ympärille ?
QA ID	Kysy muotoilusta ! Kysy kuvan kanssa tai ilman kuvaa . Designmuseon Kysy museolta -palvelu on kesälomatauolla 20.6.-21.7. Kysymyksiä voi jättää tuona aikan normaalisti palveluun . Designmuseo toivottaa kaikille mukavaa kesäaikaa ! Arabian käyttöastiasto Tämä käyttöastiasto on ollut Oy Vaasa-Umeå Ab:n laivojen käytössä 1950-70-luvulla . Olisin kiinnostunut tietämään vuosiluvun milloin astiat on valmistettu ja kuka on niiden suunnittelija ? Amanuenssi Susanna Thiel vastaa : Hei , Astiaston malli on FL ja se on ollut Arabian tehtaalla tuotannossa vuosina 1951-1971. Suunnittelija on Kaj Franck ja suunnitteluvuosi on 1949. FL-mallin astiat olivat suunniteltuja erityisesti suurtalous- ja ravintolakäyttöön . Koriste on tilauskoriste , jonka suunnittelijasta meillä ei valitettavasti löydy arkistotietoja .
QA ID	Kysymys : Tilaajan vastuu urakkasopimuksissa Hankkeen valmistelu Mikä on tilaajan selvitysvelvollisuus veroveloista , työntekijöiden sos. maksujen , " pimeän työvoiman " yms osalta yksityishenkilön ollessa tilaajana ? Mitkö asiat pitää varmistaa / selvittää yrityksestä , kun olen tekemässä työurakkaa yrityksen nimen alla toimivan yrityksen kanssa ? Kommentoi :* Huomaathan , että viestien ilmestyminen kestää hetken , koska kaikki viestit tarkistetaan ennen julkaisua . * Tähdellä merkityt kentät ovat pakollisia . Vastaus Yksityisellä palvelun ostajalla ei ole velvollisuutta tarkastaa yrittäjän lakisääteisten maksujen maksamista . Sinun pitää varmistaa , että yrityksellä on Y-tunnus , ja yritys on ALV-rekisteröity . Tarkastus onnistuu parhaiten yrityksen nimellä tai Y-tunnuksella oheisesta linkistä . Kun pidät työmaapäiväkirjaa itse , voit siihen merkitä työntekijöiden nimet , jotta voit kysyttäessä antaa viranomaisille tietoja .
QA ID	Kysymys : Taloyhtiön hallituksen valitseminen Taloyhtiön rakennusoikeudelliset kysymykset pvm: 6.6.2013 7:31 Onko olemassa " lakiin " perustuvaa sääntöä , miten yhtiökokouksessa valitaan ehdolle tulevat hallitukset jäsenet äänestystä varten ? Eli kumpi parempi tai oikein , et ehdotettaessa vapaaehtoisista tai halukkaista äänestetään kirjallisesti vai suullisesti ? Vai niinkö , et esitetään toinen toisiaan ja sit kieltäytyy tai suostuu , jonka jälkeen kannatetaan tai ei ? Yhtiössä on 20 osakasta , joista yli puolet kokouksessa paikalla . Kommentoi :* Huomaathan , että viestien ilmestyminen kestää hetken , koska kaikki viestit tarkistetaan ennen julkaisua . * Tähdellä merkityt kentät ovat pakollisia . Vastaus Asunto-osakeyhtiön johtoa ja edustamista koskevat säännökset löytyvät asunto-osakeyhtiölain 7 luvusta , jonka 9 §:n mukaan hallituksen jäsenet valitsee pääsääntöisesti yhtiökokous . Asunto-osakeyhtiölain 6 luvun 26 §:n mukaan yhtiökokouksen päätökseksi tulee ehdotus , jota on kannattanut yli puolet annetuista äänistä , jollei tässä laissa säädetä toisin . Vaalissa tulee valituksi eniten ääniä saanut . Yhtiökokous voi ennen vaalia päättää , että valitaan se , joka saa yli puolet annetuista äänistä . Äänten mennessä tasan vaali ratkaistaan arvalla ja muu äänestys puheenjohtajan äänellä , jollei yhtiöjärjestyksessä määrätä toisin . Yhtiöjärjestyksen määräyksellä enemmistövaatimusta voidaan lieventää vain vaalien osalta . Asunto-osakeyhtiölaissa ei ole säännöksiä äänestystavasta tai äänestysjärjestyksestä . Äänestystapana tulee kyseeseen lähinnä joko suljettu lippuäänestys tai nimenhuutoäänestys . Koska laissa ei ole säännöksiä äänestystavasta , yhtiössä ei ole velvollisuutta suorittaa suljettua lippuäänestystä , vaikka joku osakas sitä vaatisikin . Viime kädessä äänestystavastakin päättää yhtiökokous tarvittaessa äänestämällä . Samoin menetellään äänestysjärjestyksen osalta . Vaaleissa tulee valituksi siis eniten ääniä saanut tai saaneet , ellei toisin päätetä . Esimerkiksi hallitukseen valittavat kolme jäsentä voidaan valita yhdellä äänestyksellä viiden ehdokkaan joukosta . Hallituksen jäseneksi valitseminen edellyttää valitun suostumusta . Suostumus voidaan antaa ennen valitsemista , sen yhteydessä tai jälkikäteen . Tämä vastaus on annettu vain kysymyksestä ilmenevien seikkojen perusteella tuntematta asiaan liittyviä yksityiskohtia . Vastauksessa ei näin ollen ole voitu huomioida kaikkia asian ratkaisuun vaikuttavia seikkoja . Jos käytät tätä vastausta jossain muussa asiayhteydessä , ei vastauksen laatija ole siitä vastuussa . Jos haluat lisätietoja , ota yhteyttä vastauksen laatineeseen juristiin , puhelin 029 009 2590 .
DS IP QA ID	Pieni ja kätevä näppäimistö , joka sopii useimmille tietokoneille , taulutietokoneille , älypuhelimille TV-peleille ja muille laitteille , joissa on Bluetooth-tuki . Nopeasti esim. sähköpostiin tai verkkoon . Säädettävä teline takaa parhaan katselukulman . Pikapainikkeet ja trackball-hiiri ( 1000/1200/1600 dpi ) . Kantama 10 m. kuinka palautan oletus asetukset ? Yritin asentaa toiseen laitteeseen tän näppiksen mutta hävitti hiiren nappulat toimi ennen ja ei pelannut toisessa llaitteessa . Yritin asentaa takas eka laitteeseen ni ei toimi enää sionäkään . Näppis 38-2885 Suosittelen että poistatte näppäimistön tablettien bluetooth luetteloista ja asennatte sen uudestaan . Näppäimistö ja tabletti kannattaa tuoda teille lähimpään myymälään tarkistettavaksi mikäli ongelmat jatkuvat .
QA ID	Jos jatkojohdossa on kiinni useita herkkiä laitteita ja isompia latureita , onko turvallista katkaista sähköt virtakytkimestä ? Tarkempi selitys . Kun jatkojohdossa on muutama herkkä laite , jotka toimii pienellä 3,3 voltin jännitteellä , sitten on läppärin ja led -näytön laturit jotka tietenkin muuntaa jännitettä pienemmäksi , esim 230V - &gt ; 24V Se pointti on siinä , kun katkaisen kaikki virrat pois jatkojohdon kytkimestä , kyseiset pienlaitteet sammuu tietenkin heti , mutta latureiden ledit palaa hetken aikaa , koska ne varastoi sähkövirtaa kondensaattoreihin ja muihin juttuihin , niin voiko sähkövirta kulkea " väärään suuntaan " latureista takaisin pienjännitelaitteisiin hallitsemattomasti ? Lisäksi onko järkevää pitää läppärin laturia kokoajan kiinni , mutta sammuttaa se jatkojohdon kytkimestä silloin tällöin ? Voiko läppärin akku kulua nopeammin kun se jotenkin lataisi laturia takaisinpäin ? Sekava sähkötekninen kysymys , toivottavasti joku ymmärtää mitä haen takaa ... Kun on pienjännitettä ja verkkovirtajännitettä samassa jatkojohdossa kiinni , ja laturit varastoi sähköä hetken aikaa kun sammuttaa kytkimestä , onko tästä haittaa jollain ihmeellisellä tavalla ? Virta ei kulje noilla laitteilla takaisin verkkoon päin , eikä toisesta laitteesta toiseen . Se , että sammutat läppäriltä sähköt , aiheuttaa sen , että kone alkaa purkaa akkuaan . Kun sähköt palautuvat , akku taas latautuu . Tyypilliselle li-akulle luvataan n . 500 latauskertaa , eli tuolla tavalla " syöt " niistä osan . Akun kemia kyllä kuluu myös , jos akku on aivan täyteen ladattu ja erityisesti lämpimässä . Mahdoton arvioida , onko tuosta sammuttelusta enemmän hyötyä kuin haittaa . Eihän sitä akkua kukaan kuitenkaan voi optimioloissa , puolityhjänä viileässä , varastoida , jos sitä konetta haluaa käyttää .
QA ID	Kysymys : Valurautainen lattiakaivo Kylpyhuone ja sauna Kyseessä on v.1957 rakennetun omakotitalon kellarisaunan valurautainen lattiakaivo . Viemäriputket saattavat olla betoniset . Voiko em.lattiakaivon vaihtaa muoviseen ? Jos muovinen uusi lattiakaivo ei käy betoniseen viemäriputkeen , niin onko olemassa vanhaan valurautaiseen lattiakaivoon saatavana korokerengasta ? Korokerengas pitäisi olla kun vanhan betonilattian päälle asennetaan sähkölämmityskaapeli ja laatoitus . Kommentoi :* Huomaathan , että viestien ilmestyminen kestää hetken , koska kaikki viestit tarkistetaan ennen julkaisua . * Tähdellä merkityt kentät ovat pakollisia . Vastaus Korokerenkaaksi valurautaiseen lattiakaivoon ei ole pätevää ja tiivistä ratkaisua . Voit vaihtaa muoviseen lattiakaivoon , siihen löytyy liitososat betonista tai valurautaista viemäriputkea varten . Betoniputken päälle asennetaan tiivisterengas ja lämmittämällä kutistuva supistusyhde , jonka toiseen päähän muovinen lattiakaivo liitetään . PN
